id_mensagem,mensagem
1,"O portal acadêmico está fora do ar de novo na hora da entrega, que ódio!"
2,Achei a discussão do grupo de hoje muito produtiva e esclarecedora.
3,Estou completamente perdido com os prazos dessa matéria...
4,Finalmente consegui entender a lógica do projeto!
5,Muito frustrado com a falta de retorno sobre as dúvidas do trabalho.
6,Que notícia excelente! Adiaram a data final do projeto.
7,"Não sei se vou conseguir entregar tudo, bateu o desespero total."
8,"Ótima explicação na aula de hoje, me ajudou bastante!"
9,Que vontade de largar a escola
10,Vou abandonar os estudos
